Gross domestic product (GDP) at current market prices by metropolitan regions [met_10r_3gdp],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last update,18.06.19,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UNIT,Million euro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METROREG/TIME,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017
Mönchengladbach,"6,108.12","6,590.27","6,443.52","6,224.88","6,259.96","6,340.11","6,489.75","7,108.71","7,080.69","6,811.56","7,028.20","7,318.78","7,610.69","7,634.74","7,883","8,292","8,733",:
Mainz,"12,866.20","13,035.75","12,881.49","12,570.26","12,705.93","13,329.09","13,662.45","14,409.08","14,939.54","15,310.54","15,716.53","16,204.68","16,899.05","17,062.66","17,662","18,257","18,808",:
Ruhrgebiet,"115,445.16","117,558.59","119,652.74","121,232.92","125,091.75","127,392.58","130,274.96","137,935.29","144,883.01","139,451.66","144,122.04","149,686.86","149,687.18","150,686.13","155,703","157,791","160,478",:
Kiel,"15,513.17","16,175.39","15,963.41","16,317.18","16,131.90","16,226.51","16,741.20","16,988.84","17,897.23","17,477.05","17,791.30","18,734.88","19,562.97","19,767.76","20,593","20,840","21,470",:
Saarbrücken,"21,626.53","22,141.11","22,139.88","22,383.81","23,482.94","24,701.20","25,789.32","27,096.19","27,348.16","24,419.19","25,816.49","27,547.62","27,619.01","27,317.38","28,680","29,502","29,599",:
Koblenz,"9,984.86","9,992.05","10,353.16","10,679.56","10,957.11","10,963.76","11,232.15","11,430.80","11,520.79","11,338.46","11,660.41","12,227.18","12,420.96","13,068.74","13,482","14,054","14,479",:
Rostock,"8,438","8,325.36","8,396.86","8,314.82","8,572.38","8,721.96","8,754.62","9,359.20","9,869.64","9,771.41","10,309.31","10,721.66","10,738.78","11,383.49","11,855","11,991","12,186",:
Kaiserslautern,"5,808.06","5,779.11","5,872.40","6,066.72","6,190.24","5,984.82","6,169.04","6,343.01","6,579.90","6,421.04","6,627.75","6,819.63","6,887.42","7,069.87","7,629","7,873","8,177",:
Iserlohn,"11,352.38","11,326","11,263.74","11,128.94","11,328.91","11,578.80","12,177.50","12,540.08","12,847.78","11,793.06","12,506.56","13,160.82","13,396.98","13,846.33","14,002","14,716","14,957",:
Flensburg,"6,287.80","6,362.45","6,331.88","6,439.54","6,650.35","6,710.46","6,812.67","7,035.39","7,321.43","7,174.36","7,223.02","7,452.42","7,710.71","7,949.72","8,243","8,579","8,815",:
